indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2010-10-01,8567.7,3018.133,3608.487000000001,1941.08,17.2,17211.0,,,,,,,,,,,,,,,,,,,,,,,
2010-11-01,8834.6,3155.481,3715.3890000000006,1963.73,20.9,18353.0,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,10125.7,4020.361,4161.809000000001,1943.53,22.5,20209.0,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,10231.0,4215.174,4056.286,1959.54,25.8,20531.0,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,9129.0,3363.751,3678.8689999999997,2086.38,24.0,20171.0,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,9863.0,3622.66,3960.4300000000003,2279.91,22.5,20913.0,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,8917.8,3051.537,3751.862999999999,2114.4,18.9,18309.0,,,,,,,,,,,,,,,,,,,,,,,
2011-05-01,9560.4,3561.464,3833.5359999999996,2165.4,14.8,18765.0,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,10135.8,4211.284,3837.3059999999996,2087.21,12.1,21024.0,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,10562.6,4613.925,3860.3550000000005,2088.3199999999997,11.2,21403.0,,,,,,,,,,,,,,,,,,,,,,,
2011-08-01,10311.9,4289.444,3880.285999999999,2142.17,11.5,21564.0,,,,,,,,,,,,,,,,,,,,,,,
2011-09-01,9089.5,3342.414,3644.4159999999993,2102.67,16.2,18648.0,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,9062.4,3138.281,3781.749,2142.37,17.3,17565.0,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,9505.9,3485.202,3950.6079999999993,2070.09,22.6,19508.0,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,10118.6,3969.237,4178.3330000000005,1971.03,22.9,20513.0,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,10806.8,4505.197835,4381.242165,1920.36,26.2,21309.0,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,10089.2,4043.826495000003,4020.409504999998,2024.964,24.8,21949.0,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,10178.0,3799.9514179999987,4161.5005820000015,2216.548,21.7,20095.0,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01,8970.0,3123.399968000001,3781.6000319999985,2065.0,18.1,18264.0,,,,,,,,,,,,,,,,,,,,,,,
2012-05-01,9601.7,3606.52943,3804.17057,2191.0,16.9,18472.0,,,,,,,,,,,,,,,,,,,,,,,
2012-06-01,10297.0,4287.290236000002,3856.7097639999984,2153.0,12.2,20978.0,,,,,,,,,,,,,,,,,,,,,,,
2012-07-01,11071.7,4950.420933999997,3998.4820660000037,2122.797,9.9,20912.0,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,10408.3,4352.486085999999,3859.701914,2196.112,13.7,19995.0,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,9338.6,3512.345189999997,3653.954810000004,2172.3,15.6,18626.0,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,9608.0,3532.0674189999995,3792.432581000001,2283.5,18.3,17834.0,,,,,,,,,,,,,,,,,,,,,,,
2012-11-01,10031.4,3759.790749000001,3986.909250999998,2284.7,22.4,20091.0,,,,,,,,,,,,,,,,,,,,,,,
2012-12-01,10824.3,4285.4703819999995,4311.929618,2226.9,24.5,20921.0,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,11134.119344999996,4538.4461459999975,4403.673198999998,2192.0,25.1,21982.0,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,9834.160006999999,3961.686119000001,3923.9738879999977,1948.5,24.1,22169.0,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,9756.129308000001,3612.835111000003,3899.1941969999984,2244.1,20.3,19523.0,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,9307.334163,3239.3807020000017,3852.153460999997,2215.8,19.1,18443.0,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,10232.825394000005,3919.6689959999994,4015.2563980000054,2297.9,15.0,20035.0,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,10360.537193999995,4409.513940000003,3836.7232539999923,2114.3,12.8,21270.0,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,11156.173393,5088.495112000001,3929.6782809999977,2138.0,12.0,22552.0,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,10904.479243000002,4782.603022999998,3915.176220000004,2206.7,12.7,21773.0,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,10195.872995000005,4072.686172000001,3909.2868230000036,2213.9,14.4,21711.0,,,,,,,,,,,,,,,,,,,,,,,
